iter	Passed	Remaining
0	1	1630
1	3	1498
2	5	1837
3	6	1706
4	8	1617
5	9	1562
6	10	1514
7	11	1474
8	13	1456
9	14	1461
10	16	1447
11	17	1438
12	19	1456
13	20	1446
14	21	1431
15	23	1423
16	24	1415
17	25	1396
18	26	1384
19	28	1377
20	29	1370
21	30	1363
22	31	1356
23	39	1619
24	41	1604
25	42	1601
26	44	1590
27	45	1577
28	46	1559
29	47	1546
30	50	1571
31	52	1584
32	53	1579
33	55	1564
34	56	1549
35	57	1537
36	58	1526
37	59	1514
38	60	1502
39	62	1489
40	63	1479
41	64	1480
42	65	1468
43	67	1457
44	68	1447
45	69	1437
46	70	1430
47	71	1421
48	72	1413
49	73	1404
50	75	1397
51	76	1388
52	77	1381
53	78	1383
54	80	1378
55	81	1370
56	82	1363
57	83	1354
58	84	1346
59	85	1339
60	86	1332
61	87	1325
62	88	1318
63	89	1311
64	90	1306
65	91	1300
66	93	1300
67	94	1295
68	95	1288
69	96	1281
70	97	1279
71	100	1290
72	101	1286
73	102	1280
74	103	1274
75	104	1269
76	107	1292
77	109	1295
78	111	1296
79	112	1295
80	113	1293
81	115	1291
82	116	1281
83	117	1280
84	118	1277
85	120	1275
86	121	1274
87	123	1277
88	124	1278
89	127	1292
90	129	1291
91	130	1288
92	131	1284
93	132	1281
94	134	1278
95	135	1274
96	136	1272
97	138	1272
98	139	1271
99	140	1268
100	142	1266
101	143	1263
102	144	1259
103	145	1255
104	146	1251
105	147	1247
106	149	1244
107	150	1241
108	154	1262
109	156	1268
110	158	1272
111	159	1268
112	161	1264
113	162	1261
114	163	1259
115	164	1255
116	165	1252
117	167	1253
118	169	1254
119	170	1250
120	171	1246
121	172	1242
122	173	1240
123	175	1237
124	176	1233
125	177	1230
126	178	1225
127	179	1223
128	180	1221
129	183	1225
130	184	1223
131	185	1221
132	186	1218
133	188	1216
134	189	1215
135	191	1213
136	192	1210
137	193	1207
138	194	1205
139	197	1213
140	198	1211
141	199	1206
142	200	1202
143	201	1199
144	202	1196
145	203	1192
146	205	1191
147	206	1188
148	207	1186
149	208	1182
150	209	1179
151	211	1178
152	212	1176
153	213	1173
154	214	1169
155	215	1167
156	216	1165
157	218	1162
158	219	1160
159	220	1157
160	221	1152
161	222	1149
162	223	1146
163	224	1145
164	226	1145
165	227	1143
166	228	1140
167	230	1139
168	231	1136
169	232	1133
170	233	1131
171	234	1128
172	235	1126
173	236	1123
174	238	1122
175	239	1119
176	240	1118
177	241	1116
178	242	1114
179	244	1111
180	245	1109
181	246	1106
182	247	1103
183	248	1100
184	249	1098
185	250	1095
186	251	1093
187	252	1091
